Journal name,JCR Abbreviation,2024 JIF,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,Total Articles,Total Citations,Category,2023 JIF
International Journal of Bilingual Education and Bilingualism,INT J BILING EDUC BI,2.5,3.5,N/A,2.3,0.5,66,3717,LANGUAGE & LINGUISTICS,2.5
International Journal of Bilingual Education and Bilingualism,INT J BILING EDUC BI,2.5,3.5,Q1,2.3,0.5,66,3717,EDUCATION & EDUCATIONAL RESEARCH|LINGUISTICS,2.5
Chinese Journal of Integrative Medicine,CHIN J INTEGR MED,2.5,2.6,Q2,2.2,0.3,91,3721,INTEGRATIVE & COMPLEMENTARY MEDICINE,NA
Expert Review of Gastroenterology & Hepatology,EXPERT REV GASTROENT,2.5,3.6,Q2,2.5,0.6,18,3730,GASTROENTEROLOGY & HEPATOLOGY,3.8
International Journal of Interactive Design and Manufacturing - IJIDeM,INT J INTERACT DES M,2.5,2.5,Q3,2.1,0.7,448,3771,"ENGINEERING, MANUFACTURING",NA
IEEE TRANSACTIONS ON NANOTECHNOLOGY,IEEE T NANOTECHNOL,2.5,2.5,Q3,2.3,0.6,109,3811,"ENGINEERING, ELECTRICAL & ELECTRONIC|MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY|PHYSICS, APPLIED",NA
CELL BIOCHEMISTRY AND BIOPHYSICS,CELL BIOCHEM BIOPHYS,2.5,2.3,Q3,2.4,0.6,326,3812,BIOPHYSICS,NA
CELL BIOCHEMISTRY AND BIOPHYSICS,CELL BIOCHEM BIOPHYS,2.5,2.3,Q4,2.4,0.6,326,3812,BIOCHEMISTRY & MOLECULAR BIOLOGY|CELL BIOLOGY,NA
JOURNAL OF BIOMATERIALS APPLICATIONS,J BIOMATER APPL,2.5,2.7,Q3,2.4,0.5,82,3830,"ENGINEERING, BIOMEDICAL",NA
JOURNAL OF BIOMATERIALS APPLICATIONS,J BIOMATER APPL,2.5,2.7,Q4,2.4,0.5,82,3830,"MATERIALS SCIENCE, BIOMATERIALS",NA
Cogent Economics & Finance,COGENT ECON FINANC,2.5,2.5,Q2,2.3,0.6,295,3830,ECONOMICS,NA
PHARMACEUTICAL DEVELOPMENT AND TECHNOLOGY,PHARM DEV TECHNOL,2.5,2.8,Q2,2.4,0.7,83,3836,PHARMACOLOGY & PHARMACY,2.6
Quaternary Geochronology,QUAT GEOCHRONOL,2.5,2.8,Q2,1.7,0.7,104,3879,"GEOGRAPHY, PHYSICAL|GEOSCIENCES, MULTIDISCIPLINARY",NA
CHINA QUARTERLY,CHINA QUART,2.5,2.9,Q1,2.3,0.8,32,3888,AREA STUDIES,2.5
Transactions on Emerging Telecommunications Technologies,T EMERG TELECOMMUN T,2.5,2.6,Q3,2.4,0.6,128,3891,TELECOMMUNICATIONS,2.5
INTERNATIONAL JOURNAL OF COSMETIC SCIENCE,INT J COSMETIC SCI,2.5,2.9,Q2,2.3,0.3,79,3921,DERMATOLOGY,2.7
IET Intelligent Transport Systems,IET INTELL TRANSP SY,2.5,2.8,Q2,2.3,0.3,117,3963,"ENGINEERING, ELECTRICAL & ELECTRONIC|TRANSPORTATION SCIENCE & TECHNOLOGY",NA
BRITISH JOURNAL OF HEALTH PSYCHOLOGY,BRIT J HEALTH PSYCH,2.5,4.3,Q1,2.4,0.3,49,3998,"PSYCHOLOGY, CLINICAL",3.5
Cogent Engineering,COGENT ENG,2.5,2.2,Q2,2.4,0.7,321,4023,"ENGINEERING, MULTIDISCIPLINARY",NA
JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION,J AM PHARM ASSOC,2.5,2.2,Q3,2.1,0.8,218,4071,PHARMACOLOGY & PHARMACY,2.5
PLASMA CHEMISTRY AND PLASMA PROCESSING,PLASMA CHEM PLASMA P,2.5,3,Q2,2.2,0.6,89,4095,"PHYSICS, APPLIED|PHYSICS, FLUIDS & PLASMAS",2.6
PLASMA CHEMISTRY AND PLASMA PROCESSING,PLASMA CHEM PLASMA P,2.5,3,Q3,2.2,0.6,89,4095,"ENGINEERING, CHEMICAL",2.6
JOURNAL OF HUMAN NUTRITION AND DIETETICS,J HUM NUTR DIET,2.5,2.9,Q3,2.3,0.4,97,4099,NUTRITION & DIETETICS,2.9
TISSUE & CELL,TISSUE CELL,2.5,2.7,Q1,2.5,0.6,334,4105,ANATOMY & MORPHOLOGY,2.7
TISSUE & CELL,TISSUE CELL,2.5,2.7,Q3,2.5,0.6,334,4105,CELL BIOLOGY,2.7
Physiological Genomics,PHYSIOL GENOMICS,2.5,3,Q2,2.4,0.6,64,4130,GENETICS & HEREDITY|PHYSIOLOGY,2.5
Physiological Genomics,PHYSIOL GENOMICS,2.5,3,Q3,2.4,0.6,64,4130,CELL BIOLOGY,2.5
NONPROFIT AND VOLUNTARY SECTOR QUARTERLY,NONPROF VOLUNT SEC Q,2.5,3.1,Q1,2.2,0.3,51,4172,SOCIAL ISSUES,NA
Welding in the World,WELD WORLD,2.5,2.4,Q2,2.3,0.7,228,4220,METALLURGY & METALLURGICAL ENGINEERING,2.4
Clinical Breast Cancer,CLIN BREAST CANCER,2.5,2.7,Q3,2.4,0.6,154,4267,ONCOLOGY,2.9
INTERNATIONAL JOURNAL OF METHODS IN PSYCHIATRIC RESEARCH,INT J METH PSYCH RES,2.5,3.7,Q2,2.3,1,36,4289,PSYCHIATRY,2.4
World Journal of Hepatology,WORLD J HEPATOL,2.5,3,Q2,2.5,0.7,84,4304,GASTROENTEROLOGY & HEPATOLOGY,2.5
CURRENT OPINION IN PEDIATRICS,CURR OPIN PEDIATR,2.5,3,Q1,2.4,0.7,0,4333,PEDIATRICS,NA
EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,EUR J MECH B-FLUID,2.5,2.4,Q2,2.4,0.6,122,4355,"MECHANICS|PHYSICS, FLUIDS & PLASMAS",2.5
Elements,ELEMENTS,2.5,4.5,Q1,2.4,2.1,36,4388,GEOCHEMISTRY & GEOPHYSICS|MINERALOGY,NA
JOURNAL OF CRIMINAL JUSTICE,J CRIM JUST,2.5,3.5,Q1,2.3,0.3,141,4405,CRIMINOLOGY & PENOLOGY,3.3
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,CMES-COMP MODEL ENG,2.5,2.1,Q2,2.2,1,459,4405,"ENGINEERING, MULTIDISCIPLINARY|MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",NA
SEMINARS IN ONCOLOGY,SEMIN ONCOL,2.5,4.1,Q2,2.5,1.8,0,4421,ONCOLOGY,3
Frontiers in Neuroinformatics,FRONT NEUROINFORM,2.5,3.1,Q2,2.4,0.5,64,4508,MATHEMATICAL & COMPUTATIONAL BIOLOGY,2.5
Frontiers in Neuroinformatics,FRONT NEUROINFORM,2.5,3.1,Q3,2.4,0.5,64,4508,NEUROSCIENCES,2.5
DECISION SCIENCES,DECISION SCI,2.5,4.8,Q2,2.4,0.3,25,4702,MANAGEMENT,2.8
CANCER NURSING,CANCER NURS,2.5,2.8,Q1,2.3,0.5,147,4739,NURSING,2.4
CANCER NURSING,CANCER NURS,2.5,2.8,Q3,2.3,0.5,147,4739,ONCOLOGY,2.4
MOLECULAR BIOTECHNOLOGY,MOL BIOTECHNOL,2.5,2.7,Q3,2.5,0.5,269,4865,BIOCHEMISTRY & MOLECULAR BIOLOGY|BIOTECHNOLOGY & APPLIED MICROBIOLOGY,NA
JOURNAL OF HUMAN GENETICS,J HUM GENET,2.5,2.7,Q3,2.4,0.6,84,4879,GENETICS & HEREDITY,2.6
MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,MUTAT RES-GEN TOX EN,2.5,2.3,Q3,2.4,0.7,62,4888,BIOTECHNOLOGY & APPLIED MICROBIOLOGY|GENETICS & HEREDITY|TOXICOLOGY,NA
PLOS Global Public Health,PLOS GLOB PUBL HLTH,2.5,2.5,Q2,2.3,0.4,941,4899,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",NA
WORLD POLITICS,WORLD POLIT,2.5,4.3,Q1,2.5,0.5,18,4951,INTERNATIONAL RELATIONS|POLITICAL SCIENCE,4.5
COMPUTATIONAL & APPLIED MATHEMATICS,COMPUT APPL MATH,2.5,2.3,Q1,2.3,0.8,446,5017,"MATHEMATICS, APPLIED",2.5
Microfluidics and Nanofluidics,MICROFLUID NANOFLUID,2.5,2.6,Q2,2.4,0.6,70,5049,"INSTRUMENTS & INSTRUMENTATION|PHYSICS, FLUIDS & PLASMAS",NA
Microfluidics and Nanofluidics,MICROFLUID NANOFLUID,2.5,2.6,Q3,2.4,0.6,70,5049,NANOSCIENCE & NANOTECHNOLOGY,NA
ARCHIVE OF APPLIED MECHANICS,ARCH APPL MECH,2.5,2.4,Q2,2.2,0.8,178,5052,MECHANICS,NA
International Journal of Educational Research,INT J EDUC RES,2.5,3.5,Q1,2.4,0.5,160,5126,EDUCATION & EDUCATIONAL RESEARCH,2.6
JOURNAL OF HEREDITY,J HERED,2.5,2.6,Q2,2.2,0.5,72,5353,EVOLUTIONARY BIOLOGY,3
JOURNAL OF HEREDITY,J HERED,2.5,2.6,Q3,2.2,0.5,72,5353,GENETICS & HEREDITY,3
MEMORIAS DO INSTITUTO OSWALDO CRUZ,MEM I OSWALDO CRUZ,2.5,2.2,Q2,2.4,0.4,44,5493,PARASITOLOGY|TROPICAL MEDICINE,2.5
Clinical & Translational Oncology,CLIN TRANSL ONCOL,2.5,2.7,Q3,2.4,0.5,326,5617,ONCOLOGY,2.8
Journal of Clinical Hypertension,J CLIN HYPERTENS,2.5,2.8,Q2,2.4,0.4,158,5682,PERIPHERAL VASCULAR DISEASE,2.7
TRAFFIC,TRAFFIC,2.5,4.4,Q2,2.5,1.1,13,5750,CELL BIOLOGY,3.6
AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,AM J SPEECH-LANG PAT,2.5,3.1,Q1,2,0.6,201,5751,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY|LINGUISTICS|REHABILITATION,NA
Pain Physician,PAIN PHYSICIAN,2.5,3,Q2,2.1,0.5,117,5770,ANESTHESIOLOGY|CLINICAL NEUROLOGY,2.6
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,ENVIRON PLANN D,2.5,4.5,Q1,2.2,0.7,60,5787,GEOGRAPHY,2.9
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,ENVIRON PLANN D,2.5,4.5,Q2,2.2,0.7,60,5787,ENVIRONMENTAL STUDIES,2.9
WEED SCIENCE,WEED SCI,2.5,2.6,Q2,2.1,0.4,86,5891,AGRONOMY|PLANT SCIENCES,NA
JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION,J FORMOS MED ASSOC,2.5,2.7,Q1,2.2,1.4,142,5965,"MEDICINE, GENERAL & INTERNAL",2.6
BIOTECHNIQUES,BIOTECHNIQUES,2.5,2.8,Q2,2.4,0.2,42,5988,BIOCHEMICAL RESEARCH METHODS,NA
BIOTECHNIQUES,BIOTECHNIQUES,2.5,2.8,Q3,2.4,0.2,42,5988,BIOCHEMISTRY & MOLECULAR BIOLOGY,NA
PROTOPLASMA,PROTOPLASMA,2.5,3,Q2,2.3,0.6,88,6025,PLANT SCIENCES,2.5
PROTOPLASMA,PROTOPLASMA,2.5,3,Q3,2.3,0.6,88,6025,CELL BIOLOGY,2.5
Journal of Mountain Science,J MT SCI-ENGL,2.5,2.7,Q3,2.3,0.7,268,6049,ENVIRONMENTAL SCIENCES,NA
CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY,CLIN EXP PHARMACOL P,2.5,2.3,Q3,2.5,0.7,68,6051,PHARMACOLOGY & PHARMACY|PHYSIOLOGY,2.4
MOTIVATION AND EMOTION,MOTIV EMOTION,2.5,4.2,Q1,2.5,0.3,48,6071,"PSYCHOLOGY, EXPERIMENTAL|PSYCHOLOGY, SOCIAL",NA
JOURNAL OF GREAT LAKES RESEARCH,J GREAT LAKES RES,2.5,2.6,Q1,2.1,0.7,110,6157,LIMNOLOGY|MARINE & FRESHWATER BIOLOGY,2.4
JOURNAL OF GREAT LAKES RESEARCH,J GREAT LAKES RES,2.5,2.6,Q3,2.1,0.7,110,6157,ENVIRONMENTAL SCIENCES,2.4
Aerosol and Air Quality Research,AEROSOL AIR QUAL RES,2.5,2.6,Q3,2.3,0.4,139,6169,ENVIRONMENTAL SCIENCES,2.5
NEUROSURGICAL REVIEW,NEUROSURG REV,2.5,3,Q1,2.3,0.9,288,6245,SURGERY,2.5
NEUROSURGICAL REVIEW,NEUROSURG REV,2.5,3,Q2,2.3,0.9,288,6245,CLINICAL NEUROLOGY,2.5
INTERNATIONAL STUDIES QUARTERLY,INT STUD QUART,2.5,3.3,Q1,2.3,0.7,143,6250,INTERNATIONAL RELATIONS|POLITICAL SCIENCE,2.4
CURRENT DRUG TARGETS,CURR DRUG TARGETS,2.5,3.3,Q2,2.5,0.4,3,6259,PHARMACOLOGY & PHARMACY,3
International Journal of Mental Health and Addiction,INT J MENT HEALTH AD,2.5,4.1,Q1,2.4,0.5,191,6382,"PSYCHOLOGY, CLINICAL|SUBSTANCE ABUSE",3.2
International Journal of Mental Health and Addiction,INT J MENT HEALTH AD,2.5,4.1,Q2,2.4,0.5,191,6382,PSYCHIATRY,3.2
FISH PHYSIOLOGY AND BIOCHEMISTRY,FISH PHYSIOL BIOCHEM,2.5,3.1,Q1,2.5,0.8,115,6459,FISHERIES,2.5
FISH PHYSIOLOGY AND BIOCHEMISTRY,FISH PHYSIOL BIOCHEM,2.5,3.1,Q2,2.5,0.8,115,6459,PHYSIOLOGY,2.5
FISH PHYSIOLOGY AND BIOCHEMISTRY,FISH PHYSIOL BIOCHEM,2.5,3.1,Q3,2.5,0.8,115,6459,BIOCHEMISTRY & MOLECULAR BIOLOGY,2.5
Geriatrics & Gerontology International,GERIATR GERONTOL INT,2.5,3.2,Q2,2.2,0.5,179,6757,GERONTOLOGY,2.4
Geriatrics & Gerontology International,GERIATR GERONTOL INT,2.5,3.2,Q3,2.2,0.5,179,6757,GERIATRICS & GERONTOLOGY,2.4
PeerJ Computer Science,PEERJ COMPUT SCI,2.5,3.3,Q2,2.3,0.5,803,6866,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|COMPUTER SCIENCE, INFORMATION SYSTEMS|COMPUTER SCIENCE, THEORY & METHODS",3.5
CEREAL CHEMISTRY,CEREAL CHEM,2.5,2.8,Q2,2.3,0.4,105,6936,"CHEMISTRY, APPLIED",NA
CEREAL CHEMISTRY,CEREAL CHEM,2.5,2.8,Q3,2.3,0.4,105,6936,FOOD SCIENCE & TECHNOLOGY,NA
EARTH PLANETS AND SPACE,EARTH PLANETS SPACE,2.5,2.8,Q2,2.2,0.7,153,6966,"GEOSCIENCES, MULTIDISCIPLINARY",3
JOURNAL OF MARINE SYSTEMS,J MARINE SYST,2.5,2.9,Q1,2.5,0.5,44,7180,MARINE & FRESHWATER BIOLOGY,2.7
JOURNAL OF MARINE SYSTEMS,J MARINE SYST,2.5,2.9,Q2,2.5,0.5,44,7180,"GEOSCIENCES, MULTIDISCIPLINARY|OCEANOGRAPHY",2.7
MIDWIFERY,MIDWIFERY,2.5,3.1,Q1,2.3,0.4,200,7205,NURSING,2.6
PROSTATE,PROSTATE,2.5,2.9,Q2,2.4,0.6,144,7342,UROLOGY & NEPHROLOGY,2.6
PROSTATE,PROSTATE,2.5,2.9,Q3,2.4,0.6,144,7342,ENDOCRINOLOGY & METABOLISM,2.6
Reproductive Sciences,REPROD SCI,2.5,2.8,Q2,2.4,0.5,255,7397,OBSTETRICS & GYNECOLOGY|REPRODUCTIVE BIOLOGY,2.6
BIOTECHNOLOGY PROGRESS,BIOTECHNOL PROGR,2.5,2.7,Q3,2.4,0.7,85,7404,BIOTECHNOLOGY & APPLIED MICROBIOLOGY|FOOD SCIENCE & TECHNOLOGY,2.5
Behavioral Sciences,BEHAV SCI-BASEL,2.5,2.6,Q2,2.4,0.5,1129,7405,"PSYCHOLOGY, MULTIDISCIPLINARY",2.5
IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,IEEE T ELECTROMAGN C,2.5,2.4,Q3,2,0.3,225,7415,"ENGINEERING, ELECTRICAL & ELECTRONIC|TELECOMMUNICATIONS",NA
ANNALS OF PROBABILITY,ANN PROBAB,2.5,2.6,Q1,2.3,0.5,48,7463,STATISTICS & PROBABILITY,NA
STEEL RESEARCH INTERNATIONAL,STEEL RES INT,2.5,2.7,Q2,2,0.4,628,7543,METALLURGY & METALLURGICAL ENGINEERING,NA
INTERNATIONAL JOURNAL OF FRACTURE,INT J FRACTURE,2.5,2.5,Q2,2.4,1.1,57,7718,MECHANICS,NA
INTERNATIONAL JOURNAL OF FRACTURE,INT J FRACTURE,2.5,2.5,Q3,2.4,1.1,57,7718,"MATERIALS SCIENCE, MULTIDISCIPLINARY",NA
INDIAN JOURNAL OF MEDICAL RESEARCH,INDIAN J MED RES,2.5,3.4,Q1,2.5,0.2,100,7728,"MEDICINE, GENERAL & INTERNAL",2.7
INDIAN JOURNAL OF MEDICAL RESEARCH,INDIAN J MED RES,2.5,3.4,Q2,2.5,0.2,100,7728,"MEDICINE, RESEARCH & EXPERIMENTAL",2.7
INDIAN JOURNAL OF MEDICAL RESEARCH,INDIAN J MED RES,2.5,3.4,Q3,2.5,0.2,100,7728,IMMUNOLOGY,2.7
PUBLIC HEALTH REPORTS,PUBLIC HEALTH REP,2.5,3.1,Q2,2.3,0.4,96,7776,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3
INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,INT J ENVIRON AN CH,2.5,2.8,Q2,2.3,0.7,270,7926,"CHEMISTRY, ANALYTICAL",NA
INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,INT J ENVIRON AN CH,2.5,2.8,Q3,2.3,0.7,270,7926,ENVIRONMENTAL SCIENCES,NA
AMERICAN JOURNAL OF SCIENCE,AM J SCI,2.5,3.9,Q2,2.5,0.9,19,7958,"GEOSCIENCES, MULTIDISCIPLINARY",NA
Journal of Pain Research,J PAIN RES,2.5,2.8,Q3,2.3,0.7,271,8181,CLINICAL NEUROLOGY,2.5
Machines,MACHINES,2.5,2.6,Q2,2.4,0.6,883,8211,"ENGINEERING, ELECTRICAL & ELECTRONIC|ENGINEERING, MECHANICAL",NA
ANNALEN DER PHYSIK,ANN PHYS-BERLIN,2.5,2.4,Q2,2.4,0.4,112,8353,"PHYSICS, MULTIDISCIPLINARY",NA
JOURNAL OF THE ACM,J ACM,2.5,3.3,Q2,2.4,0.5,42,8582,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE|COMPUTER SCIENCE, INFORMATION SYSTEMS|COMPUTER SCIENCE, SOFTWARE ENGINEERING|COMPUTER SCIENCE, THEORY & METHODS",NA
International Wound Journal,INT WOUND J,2.5,3.2,Q1,2.3,0.8,215,8614,SURGERY,2.6
International Wound Journal,INT WOUND J,2.5,3.2,Q2,2.3,0.8,215,8614,DERMATOLOGY,2.6
Hydrological Sciences Journal,HYDROLOG SCI J,2.5,3.3,Q2,2.3,0.5,168,8797,WATER RESOURCES,2.8
CHEMICAL PAPERS,CHEM PAP,2.5,2.3,Q3,2.4,0.7,535,8832,"CHEMISTRY, MULTIDISCIPLINARY",NA
SYSTEMS & CONTROL LETTERS,SYST CONTROL LETT,2.5,2.5,Q2,2.1,0.9,211,8984,AUTOMATION & CONTROL SYSTEMS|OPERATIONS RESEARCH & MANAGEMENT SCIENCE,NA
World Journal of Surgical Oncology,WORLD J SURG ONCOL,2.5,2.8,Q2,2.5,0.5,311,9000,SURGERY,2.5
World Journal of Surgical Oncology,WORLD J SURG ONCOL,2.5,2.8,Q3,2.5,0.5,311,9000,ONCOLOGY,2.5
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,J BUS ECON STAT,2.5,5.1,Q1,2.4,0.6,84,9056,"ECONOMICS|SOCIAL SCIENCES, MATHEMATICAL METHODS|STATISTICS & PROBABILITY",2.9
MARINE CHEMISTRY,MAR CHEM,2.5,2.9,Q2,2.3,0.4,76,9364,"CHEMISTRY, MULTIDISCIPLINARY|OCEANOGRAPHY",3
PLACENTA,PLACENTA,2.5,2.9,Q2,2.3,0.4,183,9455,DEVELOPMENTAL BIOLOGY|OBSTETRICS & GYNECOLOGY|REPRODUCTIVE BIOLOGY,3
JOURNAL OF MOLECULAR MODELING,J MOL MODEL,2.5,2.2,Q3,2.3,1,415,9606,"BIOPHYSICS|CHEMISTRY, MULTIDISCIPLINARY|COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",NA
JOURNAL OF MOLECULAR MODELING,J MOL MODEL,2.5,2.2,Q4,2.3,1,415,9606,BIOCHEMISTRY & MOLECULAR BIOLOGY,NA
Journal of Cosmetic Dermatology,J COSMET DERMATOL-US,2.5,2.7,Q2,2.3,0.6,385,9648,DERMATOLOGY,NA
Journal of Arid Environments,J ARID ENVIRON,2.5,2.7,Q2,2.4,0.6,137,9764,ECOLOGY,2.6
Journal of Arid Environments,J ARID ENVIRON,2.5,2.7,Q3,2.4,0.6,137,9764,ENVIRONMENTAL SCIENCES,2.6
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,PHARMACOL BIOCHEM BE,2.5,3.1,Q2,2.4,0.4,128,9945,BEHAVIORAL SCIENCES|PHARMACOLOGY & PHARMACY,3.3
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,PHARMACOL BIOCHEM BE,2.5,3.1,Q3,2.4,0.4,128,9945,NEUROSCIENCES,3.3
JOURNAL OF NEUROIMMUNOLOGY,J NEUROIMMUNOL,2.5,2.6,Q3,2.5,0.6,123,9956,IMMUNOLOGY|NEUROSCIENCES,2.9
TECHNOMETRICS,TECHNOMETRICS,2.5,3.2,Q1,2.2,0.5,50,10014,STATISTICS & PROBABILITY,NA
HEARING RESEARCH,HEARING RES,2.5,2.9,Q1,2.2,0.5,118,10017,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY|OTORHINOLARYNGOLOGY,2.5
HEARING RESEARCH,HEARING RES,2.5,2.9,Q3,2.2,0.5,118,10017,NEUROSCIENCES,2.5
ELECTROPHORESIS,ELECTROPHORESIS,2.5,2.6,Q3,2.1,0.5,149,10266,"BIOCHEMICAL RESEARCH METHODS|CHEMISTRY, ANALYTICAL",3
PHOTOCHEMISTRY AND PHOTOBIOLOGY,PHOTOCHEM PHOTOBIOL,2.5,3.1,Q2,2.2,0.6,126,10587,BIOPHYSICS,2.6
PHOTOCHEMISTRY AND PHOTOBIOLOGY,PHOTOCHEM PHOTOBIOL,2.5,3.1,Q3,2.2,0.6,126,10587,BIOCHEMISTRY & MOLECULAR BIOLOGY,2.6
CHEMISTRY & BIODIVERSITY,CHEM BIODIVERS,2.5,2.6,Q3,2.2,0.7,951,10622,"BIOCHEMISTRY & MOLECULAR BIOLOGY|CHEMISTRY, MULTIDISCIPLINARY",NA
Orthopaedic Journal of Sports Medicine,ORTHOP J SPORTS MED,2.5,3.2,Q1,2.3,0.3,422,10703,ORTHOPEDICS,2.4
Orthopaedic Journal of Sports Medicine,ORTHOP J SPORTS MED,2.5,3.2,Q2,2.3,0.3,422,10703,SPORT SCIENCES,2.4
JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,J STEROID BIOCHEM,2.5,3.2,Q3,2.3,0.7,116,10811,BIOCHEMISTRY & MOLECULAR BIOLOGY|ENDOCRINOLOGY & METABOLISM,2.7
ARCHIVES OF GYNECOLOGY AND OBSTETRICS,ARCH GYNECOL OBSTET,2.5,2.5,Q2,2.2,0.6,430,11226,OBSTETRICS & GYNECOLOGY,NA
JOURNAL OF CLINICAL PSYCHOLOGY,J CLIN PSYCHOL,2.5,3,Q2,2.4,0.7,101,11381,"PSYCHOLOGY, CLINICAL",2.5
ACTA TROPICA,ACTA TROP,2.5,2.6,Q2,2.3,0.6,373,11826,PARASITOLOGY|TROPICAL MEDICINE,NA
ARCHIVES OF VIROLOGY,ARCH VIROL,2.5,2.2,Q3,2.3,0.5,228,12244,VIROLOGY,2.5
EXPERIMENTS IN FLUIDS,EXP FLUIDS,2.5,2.9,Q2,2.3,0.7,177,12823,"ENGINEERING, MECHANICAL|MECHANICS",NA
ORGANIC GEOCHEMISTRY,ORG GEOCHEM,2.5,2.9,Q2,2.2,0.4,79,13602,GEOCHEMISTRY & GEOPHYSICS,2.6
Crop Protection,CROP PROT,2.5,3,Q1,2.3,0.6,388,13661,AGRONOMY,2.5
MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.5,3.2,Q1,2.3,0.2,132,13819,"MATHEMATICS, APPLIED",NA
MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.5,3.2,Q2,2.3,0.2,132,13819,"COMPUTER SCIENCE, SOFTWARE ENGINEERING|OPERATIONS RESEARCH & MANAGEMENT SCIENCE",NA
Carbohydrate Research,CARBOHYD RES,2.5,2.7,Q1,2.4,0.7,209,13869,"CHEMISTRY, ORGANIC",2.4
Carbohydrate Research,CARBOHYD RES,2.5,2.7,Q2,2.4,0.7,209,13869,"CHEMISTRY, APPLIED",2.4
Carbohydrate Research,CARBOHYD RES,2.5,2.7,Q3,2.4,0.7,209,13869,BIOCHEMISTRY & MOLECULAR BIOLOGY,2.4
JOURNAL OF ARCHAEOLOGICAL SCIENCE,J ARCHAEOL SCI,2.5,2.8,N/A,2.4,0.5,131,14383,ARCHAEOLOGY,2.6
JOURNAL OF ARCHAEOLOGICAL SCIENCE,J ARCHAEOL SCI,2.5,2.8,Q1,2.4,0.5,131,14383,ANTHROPOLOGY,2.6
JOURNAL OF ARCHAEOLOGICAL SCIENCE,J ARCHAEOL SCI,2.5,2.8,Q2,2.4,0.5,131,14383,"GEOSCIENCES, MULTIDISCIPLINARY",2.6
JOURNAL OF FOOD PROCESSING AND PRESERVATION,J FOOD PROCESS PRES,2.5,2.7,Q3,2.4,0.6,104,14504,FOOD SCIENCE & TECHNOLOGY,NA
AAPG BULLETIN,AAPG BULL,2.5,3.2,Q2,2.4,1.1,84,14667,"GEOSCIENCES, MULTIDISCIPLINARY",2.7
IEEE PHOTONICS TECHNOLOGY LETTERS,IEEE PHOTONIC TECH L,2.5,2.4,Q2,2.4,0.6,371,15314,OPTICS,NA
IEEE PHOTONICS TECHNOLOGY LETTERS,IEEE PHOTONIC TECH L,2.5,2.4,Q3,2.4,0.6,371,15314,"ENGINEERING, ELECTRICAL & ELECTRONIC|PHYSICS, APPLIED",NA
Forensic Science International,FORENSIC SCI INT,2.5,2.5,Q1,2.2,0.5,306,15438,"MEDICINE, LEGAL",NA
BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,BBA-BIOMEMBRANES,2.5,3.1,Q2,2.4,0.7,86,16338,BIOPHYSICS,2.8
BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,BBA-BIOMEMBRANES,2.5,3.1,Q3,2.4,0.7,86,16338,BIOCHEMISTRY & MOLECULAR BIOLOGY,2.8
NUCLEAR PHYSICS A,NUCL PHYS A,2.5,1.4,Q3,2.4,0.6,90,16350,"PHYSICS, NUCLEAR",NA
OTOLARYNGOLOGY-HEAD AND NECK SURGERY,OTOLARYNG HEAD NECK,2.5,3.1,Q1,2.3,0.5,371,17668,OTORHINOLARYNGOLOGY|SURGERY,2.6
JOURNAL OF SPORTS SCIENCES,J SPORT SCI,2.5,3.5,Q1,2.3,0.5,279,17718,SPORT SCIENCES,NA
WORLD JOURNAL OF SURGERY,WORLD J SURG,2.5,2.7,Q2,2.4,0.5,303,18124,SURGERY,NA
